id,entity_id,asset_id,severity,status,opened_at,closed_at,escalation_level,closure_reason
al-000029,ent-005,asset-00035,high,closed,2026-09-14T12:17:48.939754,2026-09-15T01:17:48.939754,1,Remediated
al-000030,ent-006,asset-00043,medium,closed,2026-09-14T12:10:48.939754,2026-09-15T01:10:48.939754,1,Remediated
al-000031,ent-007,asset-00051,high,closed,2026-09-14T12:03:48.939754,2026-09-15T01:03:48.939754,1,Remediated
al-000032,ent-008,asset-00059,high,open,2026-09-14T11:56:48.939754,,1,
al-000033,ent-009,asset-00067,medium,closed,2026-09-14T11:49:48.939754,2026-09-15T00:49:48.939754,1,Remediated
al-000034,ent-010,asset-00075,high,closed,2026-09-14T11:42:48.939754,2026-09-14T12:27:48.939754,0,Duplicate alert
al-000035,ent-011,asset-00083,high,closed,2026-09-14T11:35:48.939754,2026-09-15T00:35:48.939754,1,Remediated
al-000036,ent-012,asset-00092,medium,open,2026-09-14T11:28:48.939754,,1,
al-000037,ent-001,asset-00004,high,closed,2026-09-14T11:21:48.939754,2026-09-15T00:21:48.939754,1,Remediated
al-000038,ent-002,asset-00012,high,closed,2026-09-14T11:14:48.939754,2026-09-15T00:14:48.939754,1,Remediated
al-000039,ent-003,asset-00020,critical,closed,2026-09-14T11:07:48.939754,2026-09-15T00:07:48.939754,0,Remediated
al-000040,ent-004,asset-00028,high,open,2026-09-14T11:00:48.939754,,1,
al-000041,ent-005,asset-00036,high,closed,2026-09-14T10:53:48.939754,2026-09-14T23:53:48.939754,1,Remediated
al-000042,ent-006,asset-00044,medium,closed,2026-09-14T10:46:48.939754,2026-09-14T23:46:48.939754,1,Remediated
al-000043,ent-007,asset-00052,high,closed,2026-09-14T10:39:48.939754,2026-09-14T23:39:48.939754,1,Remediated
al-000044,ent-008,asset-00060,high,open,2026-09-14T10:32:48.939754,,1,
al-000045,ent-009,asset-00068,medium,closed,2026-09-14T10:25:48.939754,2026-09-14T23:25:48.939754,1,Remediated
al-000046,ent-010,asset-00076,high,closed,2026-09-14T10:18:48.939754,2026-09-14T23:18:48.939754,1,Remediated
al-000047,ent-011,asset-00084,high,closed,2026-09-14T10:11:48.939754,2026-09-14T23:11:48.939754,1,Remediated
al-000048,ent-012,asset-00093,medium,open,2026-09-14T10:04:48.939754,,1,
al-000049,ent-001,asset-00005,high,closed,2026-09-14T09:57:48.939754,2026-09-14T22:57:48.939754,1,Remediated
al-000050,ent-002,asset-00013,high,closed,2026-09-14T09:50:48.939754,2026-09-14T22:50:48.939754,1,Remediated
al-000051,ent-003,asset-00021,medium,closed,2026-09-14T09:43:48.939754,2026-09-14T10:28:48.939754,0,Duplicate alert
al-000052,ent-004,asset-00029,critical,open,2026-09-14T09:36:48.939754,,0,
al-000053,ent-005,asset-00037,high,closed,2026-09-14T09:29:48.939754,2026-09-14T22:29:48.939754,1,Remediated
al-000054,ent-006,asset-00045,medium,closed,2026-09-14T09:22:48.939754,2026-09-14T22:22:48.939754,1,Remediated
al-000055,ent-007,asset-00053,high,closed,2026-09-14T09:15:48.939754,2026-09-14T22:15:48.939754,1,Remediated
al-000056,ent-008,asset-00061,high,open,2026-09-14T09:08:48.939754,,1,
al-000057,ent-009,asset-00069,medium,closed,2026-09-14T09:01:48.939754,2026-09-14T22:01:48.939754,1,Remediated
al-000058,ent-010,asset-00077,high,closed,2026-09-14T08:54:48.939754,2026-09-14T21:54:48.939754,1,Remediated
al-000059,ent-011,asset-00085,high,closed,2026-09-14T08:47:48.939754,2026-09-14T21:47:48.939754,1,Remediated
al-000060,ent-012,asset-00094,medium,open,2026-09-14T08:40:48.939754,,1,
al-000061,ent-001,asset-00006,high,closed,2026-09-14T08:33:48.939754,2026-09-14T21:33:48.939754,1,Remediated
al-000062,ent-002,asset-00014,high,closed,2026-09-14T08:26:48.939754,2026-09-14T21:26:48.939754,1,Remediated
al-000063,ent-003,asset-00022,medium,closed,2026-09-14T08:19:48.939754,2026-09-14T21:19:48.939754,1,Remediated
al-000064,ent-004,asset-00030,high,open,2026-09-14T08:12:48.939754,,1,
al-000065,ent-005,asset-00038,critical,closed,2026-09-14T08:05:48.939754,2026-09-14T21:05:48.939754,0,Remediated
al-000066,ent-006,asset-00046,medium,closed,2026-09-14T07:58:48.939754,2026-09-14T20:58:48.939754,1,Remediated
al-000067,ent-007,asset-00054,high,closed,2026-09-14T07:51:48.939754,2026-09-14T20:51:48.939754,1,Remediated
al-000068,ent-008,asset-00062,high,open,2026-09-14T07:44:48.939754,,0,Duplicate alert
al-000069,ent-009,asset-00070,medium,closed,2026-09-14T07:37:48.939754,2026-09-14T20:37:48.939754,1,Remediated
al-000070,ent-010,asset-00078,high,closed,2026-09-14T07:30:48.939754,2026-09-14T08:15:48.939754,0,Duplicate alert
al-000071,ent-011,asset-00086,high,closed,2026-09-14T07:23:48.939754,2026-09-14T20:23:48.939754,1,Remediated
al-000072,ent-012,asset-00095,medium,open,2026-09-14T07:16:48.939754,,1,
al-000073,ent-001,asset-00007,high,closed,2026-09-14T07:09:48.939754,2026-09-14T20:09:48.939754,1,Remediated
al-000074,ent-002,asset-00015,high,closed,2026-09-14T07:02:48.939754,2026-09-14T20:02:48.939754,1,Remediated
al-000075,ent-003,asset-00023,medium,closed,2026-09-14T06:55:48.939754,2026-09-14T07:40:48.939754,0,Duplicate alert
al-000076,ent-004,asset-00031,high,open,2026-09-14T06:48:48.939754,,1,
al-000077,ent-005,asset-00039,high,closed,2026-09-14T06:41:48.939754,2026-09-14T19:41:48.939754,1,Remediated
al-000078,ent-006,asset-00047,critical,closed,2026-09-14T06:34:48.939754,2026-09-14T19:34:48.939754,0,Remediated
al-000079,ent-007,asset-00055,high,closed,2026-09-14T06:27:48.939754,2026-09-14T19:27:48.939754,1,Remediated
al-000080,ent-008,asset-00063,high,open,2026-09-14T06:20:48.939754,,1,
al-000081,ent-009,asset-00071,medium,closed,2026-09-14T06:13:48.939754,2026-09-14T19:13:48.939754,1,Remediated
al-000082,ent-010,asset-00079,high,closed,2026-09-14T06:06:48.939754,2026-09-14T19:06:48.939754,1,Remediated
al-000083,ent-011,asset-00087,high,closed,2026-09-14T05:59:48.939754,2026-09-14T18:59:48.939754,1,Remediated
al-000084,ent-012,asset-00096,medium,open,2026-09-14T05:52:48.939754,,1,
al-000085,ent-001,asset-00008,high,closed,2026-09-14T05:45:48.939754,2026-09-14T06:30:48.939754,0,Duplicate alert
al-000086,ent-002,asset-00016,high,closed,2026-09-14T05:38:48.939754,2026-09-14T18:38:48.939754,1,Remediated
al-000087,ent-003,asset-00024,medium,closed,2026-09-14T05:31:48.939754,2026-09-14T18:31:48.939754,1,Remediated
al-000088,ent-004,asset-00032,high,open,2026-09-14T05:24:48.939754,,1,
al-000089,ent-005,asset-00040,high,closed,2026-09-14T05:17:48.939754,2026-09-14T18:17:48.939754,1,Remediated
al-000090,ent-006,asset-00048,medium,closed,2026-09-14T05:10:48.939754,2026-09-14T18:10:48.939754,1,Remediated
al-000091,ent-007,asset-00056,critical,closed,2026-09-14T05:03:48.939754,2026-09-14T18:03:48.939754,0,Remediated
al-000092,ent-008,asset-00064,high,open,2026-09-14T04:56:48.939754,,1,
al-000093,ent-009,asset-00072,medium,closed,2026-09-14T04:49:48.939754,2026-09-14T17:49:48.939754,1,Remediated
al-000094,ent-010,asset-00080,high,closed,2026-09-14T04:42:48.939754,2026-09-14T17:42:48.939754,1,Remediated
al-000095,ent-011,asset-00088,high,closed,2026-09-14T04:35:48.939754,2026-09-14T17:35:48.939754,1,Remediated
al-000096,ent-012,asset-00089,medium,open,2026-09-14T04:28:48.939754,,1,
al-000097,ent-001,asset-00001,high,closed,2026-09-14T04:21:48.939754,2026-09-14T17:21:48.939754,1,Remediated
al-000098,ent-002,asset-00009,high,closed,2026-09-14T04:14:48.939754,2026-09-14T17:14:48.939754,1,Remediated
al-000099,ent-003,asset-00017,medium,closed,2026-09-14T04:07:48.939754,2026-09-14T17:07:48.939754,1,Remediated
al-000100,ent-004,asset-00025,high,open,2026-09-14T04:00:48.939754,,1,
al-000101,ent-005,asset-00033,high,closed,2026-09-14T03:53:48.939754,2026-09-14T16:53:48.939754,1,Remediated
al-000102,ent-006,asset-00041,medium,closed,2026-09-14T03:46:48.939754,2026-09-14T04:31:48.939754,0,Duplicate alert
al-000103,ent-007,asset-00049,high,closed,2026-09-14T03:39:48.939754,2026-09-14T16:39:48.939754,1,Remediated
al-000104,ent-008,asset-00057,critical,open,2026-09-14T03:32:48.939754,,0,
al-000105,ent-009,asset-00065,medium,closed,2026-09-14T03:25:48.939754,2026-09-14T16:25:48.939754,1,Remediated
al-000106,ent-010,asset-00073,high,closed,2026-09-14T03:18:48.939754,2026-09-14T16:18:48.939754,1,Remediated
al-000107,ent-011,asset-00081,high,closed,2026-09-14T03:11:48.939754,2026-09-14T16:11:48.939754,1,Remediated
al-000108,ent-012,asset-00090,medium,open,2026-09-14T03:04:48.939754,,1,
al-000109,ent-001,asset-00002,high,closed,2026-09-14T02:57:48.939754,2026-09-14T15:57:48.939754,1,Remediated
al-000110,ent-002,asset-00010,high,closed,2026-09-14T02:50:48.939754,2026-09-14T15:50:48.939754,1,Remediated
al-000111,ent-003,asset-00018,medium,closed,2026-09-14T02:43:48.939754,2026-09-14T15:43:48.939754,1,Remediated
al-000112,ent-004,asset-00026,high,open,2026-09-14T02:36:48.939754,,1,
al-000113,ent-005,asset-00034,high,closed,2026-09-14T02:29:48.939754,2026-09-14T15:29:48.939754,1,Remediated
al-000114,ent-006,asset-00042,medium,closed,2026-09-14T02:22:48.939754,2026-09-14T15:22:48.939754,1,Remediated
al-000115,ent-007,asset-00050,high,closed,2026-09-14T02:15:48.939754,2026-09-14T15:15:48.939754,1,Remediated
al-000116,ent-008,asset-00058,high,open,2026-09-14T02:08:48.939754,,1,
al-000117,ent-009,asset-00066,critical,closed,2026-09-14T02:01:48.939754,2026-09-14T15:01:48.939754,0,Remediated
al-000118,ent-010,asset-00074,high,closed,2026-09-14T01:54:48.939754,2026-09-14T14:54:48.939754,1,Remediated
al-000119,ent-011,asset-00082,high,closed,2026-09-14T01:47:48.939754,2026-09-14T02:32:48.939754,0,Duplicate alert
al-000120,ent-012,asset-00091,medium,open,2026-09-14T01:40:48.939754,,1,
al-000121,ent-001,asset-00003,high,closed,2026-09-14T01:33:48.939754,2026-09-14T14:33:48.939754,1,Remediated
al-000122,ent-002,asset-00011,high,closed,2026-09-14T01:26:48.939754,2026-09-14T14:26:48.939754,1,Remediated
al-000123,ent-003,asset-00019,medium,closed,2026-09-14T01:19:48.939754,2026-09-14T14:19:48.939754,1,Remediated
al-000124,ent-004,asset-00027,high,open,2026-09-14T01:12:48.939754,,1,
al-000125,ent-005,asset-00035,high,closed,2026-09-14T01:05:48.939754,2026-09-14T14:05:48.939754,1,Remediated
al-000126,ent-006,asset-00043,medium,closed,2026-09-14T00:58:48.939754,2026-09-14T13:58:48.939754,1,Remediated
al-000127,ent-007,asset-00051,high,closed,2026-09-14T00:51:48.939754,2026-09-14T13:51:48.939754,1,Remediated
al-000128,ent-008,asset-00059,high,open,2026-09-14T00:44:48.939754,,1,
al-000129,ent-009,asset-00067,medium,closed,2026-09-14T00:37:48.939754,2026-09-14T13:37:48.939754,1,Remediated
al-000130,ent-010,asset-00075,critical,closed,2026-09-14T00:30:48.939754,2026-09-14T01:15:48.939754,0,Duplicate alert
al-000131,ent-011,asset-00083,high,closed,2026-09-14T00:23:48.939754,2026-09-14T13:23:48.939754,1,Remediated
al-000132,ent-012,asset-00092,medium,open,2026-09-14T00:16:48.939754,,1,
al-000133,ent-001,asset-00004,high,closed,2026-09-14T00:09:48.939754,2026-09-14T13:09:48.939754,1,Remediated
al-000134,ent-002,asset-00012,high,closed,2026-09-14T00:02:48.939754,2026-09-14T13:02:48.939754,1,Remediated
al-000135,ent-003,asset-00020,medium,closed,2026-09-13T23:55:48.939754,2026-09-14T00:40:48.939754,0,Duplicate alert
al-000136,ent-004,asset-00028,high,open,2026-09-13T23:48:48.939754,,0,Duplicate alert
al-000137,ent-005,asset-00036,high,closed,2026-09-13T23:41:48.939754,2026-09-14T12:41:48.939754,1,Remediated
al-000138,ent-006,asset-00044,medium,closed,2026-09-13T23:34:48.939754,2026-09-14T12:34:48.939754,1,Remediated
al-000139,ent-007,asset-00052,high,closed,2026-09-13T23:27:48.939754,2026-09-14T12:27:48.939754,1,Remediated
al-000140,ent-008,asset-00060,high,open,2026-09-13T23:20:48.939754,,1,
al-000141,ent-009,asset-00068,medium,closed,2026-09-13T23:13:48.939754,2026-09-14T12:13:48.939754,1,Remediated
al-000142,ent-010,asset-00076,high,closed,2026-09-13T23:06:48.939754,2026-09-14T12:06:48.939754,1,Remediated
al-000143,ent-011,asset-00084,critical,closed,2026-09-13T22:59:48.939754,2026-09-14T11:59:48.939754,0,Remediated
al-000144,ent-012,asset-00093,medium,open,2026-09-13T22:52:48.939754,,1,
al-000145,ent-001,asset-00005,high,closed,2026-09-13T22:45:48.939754,2026-09-14T11:45:48.939754,1,Remediated
al-000146,ent-002,asset-00013,high,closed,2026-09-13T22:38:48.939754,2026-09-14T11:38:48.939754,1,Remediated
al-000147,ent-003,asset-00021,medium,closed,2026-09-13T22:31:48.939754,2026-09-14T11:31:48.939754,1,Remediated
al-000148,ent-004,asset-00029,high,open,2026-09-13T22:24:48.939754,,1,
al-000149,ent-005,asset-00037,high,closed,2026-09-13T22:17:48.939754,2026-09-14T11:17:48.939754,1,Remediated
al-000150,ent-006,asset-00045,medium,closed,2026-09-13T22:10:48.939754,2026-09-14T11:10:48.939754,1,Remediated
al-000151,ent-007,asset-00053,high,closed,2026-09-13T22:03:48.939754,2026-09-14T11:03:48.939754,1,Remediated
al-000152,ent-008,asset-00061,high,open,2026-09-13T21:56:48.939754,,1,
al-000153,ent-009,asset-00069,medium,closed,2026-09-13T21:49:48.939754,2026-09-13T22:34:48.939754,0,Duplicate alert
al-000154,ent-010,asset-00077,high,closed,2026-09-13T21:42:48.939754,2026-09-14T10:42:48.939754,1,Remediated
al-000155,ent-011,asset-00085,high,closed,2026-09-13T21:35:48.939754,2026-09-14T10:35:48.939754,1,Remediated
al-000156,ent-012,asset-00094,critical,open,2026-09-13T21:28:48.939754,,0,
al-000157,ent-001,asset-00006,high,closed,2026-09-13T21:21:48.939754,2026-09-14T10:21:48.939754,1,Remediated
al-000158,ent-002,asset-00014,high,closed,2026-09-13T21:14:48.939754,2026-09-14T10:14:48.939754,1,Remediated
al-000159,ent-003,asset-00022,medium,closed,2026-09-13T21:07:48.939754,2026-09-14T10:07:48.939754,1,Remediated
al-000160,ent-004,asset-00030,high,open,2026-09-13T21:00:48.939754,,1,
al-000161,ent-005,asset-00038,high,closed,2026-09-13T20:53:48.939754,2026-09-14T09:53:48.939754,1,Remediated
al-000162,ent-006,asset-00046,medium,closed,2026-09-13T20:46:48.939754,2026-09-14T09:46:48.939754,1,Remediated
al-000163,ent-007,asset-00054,high,closed,2026-09-13T20:39:48.939754,2026-09-14T09:39:48.939754,1,Remediated
al-000164,ent-008,asset-00062,high,open,2026-09-13T20:32:48.939754,,1,
al-000165,ent-009,asset-00070,medium,closed,2026-09-13T20:25:48.939754,2026-09-14T09:25:48.939754,1,Remediated
al-000166,ent-010,asset-00078,high,closed,2026-09-13T20:18:48.939754,2026-09-14T09:18:48.939754,1,Remediated
al-000167,ent-011,asset-00086,high,closed,2026-09-13T20:11:48.939754,2026-09-14T09:11:48.939754,1,Remediated
al-000168,ent-012,asset-00095,medium,open,2026-09-13T20:04:48.939754,,1,
al-000169,ent-001,asset-00007,critical,closed,2026-09-13T19:57:48.939754,2026-09-14T08:57:48.939754,0,Remediated
al-000170,ent-002,asset-00015,high,closed,2026-09-13T19:50:48.939754,2026-09-13T20:35:48.939754,0,Duplicate alert
al-000171,ent-003,asset-00023,medium,closed,2026-09-13T19:43:48.939754,2026-09-14T08:43:48.939754,1,Remediated
al-000172,ent-004,asset-00031,high,open,2026-09-13T19:36:48.939754,,1,
al-000173,ent-005,asset-00039,high,closed,2026-09-13T19:29:48.939754,2026-09-14T08:29:48.939754,1,Remediated
al-000174,ent-006,asset-00047,medium,closed,2026-09-13T19:22:48.939754,2026-09-14T08:22:48.939754,1,Remediated
al-000175,ent-007,asset-00055,high,closed,2026-09-13T19:15:48.939754,2026-09-14T08:15:48.939754,1,Remediated
al-000176,ent-008,asset-00063,high,open,2026-09-13T19:08:48.939754,,1,
al-000177,ent-009,asset-00071,medium,closed,2026-09-13T19:01:48.939754,2026-09-14T08:01:48.939754,1,Remediated
al-000178,ent-010,asset-00079,high,closed,2026-09-13T18:54:48.939754,2026-09-14T07:54:48.939754,1,Remediated
al-000179,ent-011,asset-00087,high,closed,2026-09-13T18:47:48.939754,2026-09-14T07:47:48.939754,1,Remediated
al-000180,ent-012,asset-00096,medium,open,2026-09-13T18:40:48.939754,,1,
al-000181,ent-001,asset-00008,high,closed,2026-09-13T18:33:48.939754,2026-09-14T07:33:48.939754,1,Remediated
al-000182,ent-002,asset-00016,critical,closed,2026-09-13T18:26:48.939754,2026-09-14T07:26:48.939754,0,Remediated
al-000183,ent-003,asset-00024,medium,closed,2026-09-13T18:19:48.939754,2026-09-14T07:19:48.939754,1,Remediated
al-000184,ent-004,asset-00032,high,open,2026-09-13T18:12:48.939754,,1,
al-000185,ent-005,asset-00040,high,closed,2026-09-13T18:05:48.939754,2026-09-14T07:05:48.939754,1,Remediated
al-000186,ent-006,asset-00048,medium,closed,2026-09-13T17:58:48.939754,2026-09-14T06:58:48.939754,1,Remediated
al-000187,ent-007,asset-00056,high,closed,2026-09-13T17:51:48.939754,2026-09-13T18:36:48.939754,0,Duplicate alert
al-000188,ent-008,asset-00064,high,open,2026-09-13T17:44:48.939754,,1,
al-000189,ent-009,asset-00072,medium,closed,2026-09-13T17:37:48.939754,2026-09-14T06:37:48.939754,1,Remediated
al-000190,ent-010,asset-00080,high,closed,2026-09-13T17:30:48.939754,2026-09-13T18:15:48.939754,0,Duplicate alert
al-000191,ent-011,asset-00088,high,closed,2026-09-13T17:23:48.939754,2026-09-14T06:23:48.939754,1,Remediated
al-000192,ent-012,asset-00089,medium,open,2026-09-13T17:16:48.939754,,1,
al-000193,ent-001,asset-00001,high,closed,2026-09-13T17:09:48.939754,2026-09-14T06:09:48.939754,1,Remediated
al-000194,ent-002,asset-00009,high,closed,2026-09-13T17:02:48.939754,2026-09-14T06:02:48.939754,1,Remediated
al-000195,ent-003,asset-00017,critical,closed,2026-09-13T16:55:48.939754,2026-09-13T17:40:48.939754,0,Duplicate alert
al-000196,ent-004,asset-00025,high,open,2026-09-13T16:48:48.939754,,1,
al-000197,ent-005,asset-00033,high,closed,2026-09-13T16:41:48.939754,2026-09-14T05:41:48.939754,1,Remediated
al-000198,ent-006,asset-00041,medium,closed,2026-09-13T16:34:48.939754,2026-09-14T05:34:48.939754,1,Remediated
al-000199,ent-007,asset-00049,high,closed,2026-09-13T16:27:48.939754,2026-09-14T05:27:48.939754,1,Remediated
al-000200,ent-008,asset-00057,high,open,2026-09-13T16:20:48.939754,,1,
al-000201,ent-009,asset-00065,medium,closed,2026-09-13T16:13:48.939754,2026-09-14T05:13:48.939754,1,Remediated
al-000202,ent-010,asset-00073,high,closed,2026-09-13T16:06:48.939754,2026-09-14T05:06:48.939754,1,Remediated
al-000203,ent-011,asset-00081,high,closed,2026-09-13T15:59:48.939754,2026-09-14T04:59:48.939754,1,Remediated
al-000204,ent-012,asset-00090,medium,open,2026-09-13T15:52:48.939754,,0,Duplicate alert
al-000205,ent-001,asset-00002,high,closed,2026-09-13T15:45:48.939754,2026-09-14T04:45:48.939754,1,Remediated
al-000206,ent-002,asset-00010,high,closed,2026-09-13T15:38:48.939754,2026-09-14T04:38:48.939754,1,Remediated
al-000207,ent-003,asset-00018,medium,closed,2026-09-13T15:31:48.939754,2026-09-14T04:31:48.939754,1,Remediated
al-000208,ent-004,asset-00026,critical,open,2026-09-13T15:24:48.939754,,0,
al-000209,ent-005,asset-00034,high,closed,2026-09-13T15:17:48.939754,2026-09-14T04:17:48.939754,1,Remediated
al-000210,ent-006,asset-00042,medium,closed,2026-09-13T15:10:48.939754,2026-09-14T04:10:48.939754,1,Remediated
al-000211,ent-007,asset-00050,high,closed,2026-09-13T15:03:48.939754,2026-09-14T04:03:48.939754,1,Remediated
al-000212,ent-008,asset-00058,high,open,2026-09-13T14:56:48.939754,,1,
al-000213,ent-009,asset-00066,medium,closed,2026-09-13T14:49:48.939754,2026-09-14T03:49:48.939754,1,Remediated
al-000214,ent-010,asset-00074,high,closed,2026-09-13T14:42:48.939754,2026-09-14T03:42:48.939754,1,Remediated
al-000215,ent-011,asset-00082,high,closed,2026-09-13T14:35:48.939754,2026-09-14T03:35:48.939754,1,Remediated
al-000216,ent-012,asset-00091,medium,open,2026-09-13T14:28:48.939754,,1,
al-000217,ent-001,asset-00003,high,closed,2026-09-13T14:21:48.939754,2026-09-14T03:21:48.939754,1,Remediated
al-000218,ent-002,asset-00011,high,closed,2026-09-13T14:14:48.939754,2026-09-14T03:14:48.939754,1,Remediated
al-000219,ent-003,asset-00019,medium,closed,2026-09-13T14:07:48.939754,2026-09-14T03:07:48.939754,1,Remediated
al-000220,ent-004,asset-00027,high,open,2026-09-13T14:00:48.939754,,1,
al-000221,ent-005,asset-00035,critical,closed,2026-09-13T13:53:48.939754,2026-09-13T14:38:48.939754,0,Duplicate alert
al-000222,ent-006,asset-00043,medium,closed,2026-09-13T13:46:48.939754,2026-09-14T02:46:48.939754,1,Remediated
al-000223,ent-007,asset-00051,high,closed,2026-09-13T13:39:48.939754,2026-09-14T02:39:48.939754,1,Remediated
al-000224,ent-008,asset-00059,high,open,2026-09-13T13:32:48.939754,,1,
al-000225,ent-009,asset-00067,medium,closed,2026-09-13T13:25:48.939754,2026-09-14T02:25:48.939754,1,Remediated
al-000226,ent-010,asset-00075,high,closed,2026-09-13T13:18:48.939754,2026-09-14T02:18:48.939754,1,Remediated
al-000227,ent-011,asset-00083,high,closed,2026-09-13T13:11:48.939754,2026-09-14T02:11:48.939754,1,Remediated
al-000228,ent-012,asset-00092,medium,open,2026-09-13T13:04:48.939754,,1,
al-000229,ent-001,asset-00004,high,closed,2026-09-13T12:57:48.939754,2026-09-14T01:57:48.939754,1,Remediated
al-000230,ent-002,asset-00012,high,closed,2026-09-13T12:50:48.939754,2026-09-14T01:50:48.939754,1,Remediated
al-000231,ent-003,asset-00020,medium,closed,2026-09-13T12:43:48.939754,2026-09-14T01:43:48.939754,1,Remediated
al-000232,ent-004,asset-00028,high,open,2026-09-13T12:36:48.939754,,1,
al-000233,ent-005,asset-00036,high,closed,2026-09-13T12:29:48.939754,2026-09-14T01:29:48.939754,1,Remediated
al-000234,ent-006,asset-00044,critical,closed,2026-09-13T12:22:48.939754,2026-09-14T01:22:48.939754,0,Remediated
al-000235,ent-007,asset-00052,high,closed,2026-09-13T12:15:48.939754,2026-09-14T01:15:48.939754,1,Remediated
al-000236,ent-008,asset-00060,high,open,2026-09-13T12:08:48.939754,,1,
al-000237,ent-009,asset-00068,medium,closed,2026-09-13T12:01:48.939754,2026-09-14T01:01:48.939754,1,Remediated
al-000238,ent-010,asset-00076,high,closed,2026-09-13T11:54:48.939754,2026-09-13T12:39:48.939754,0,Duplicate alert
al-000239,ent-011,asset-00084,high,closed,2026-09-13T11:47:48.939754,2026-09-14T00:47:48.939754,1,Remediated
al-000240,ent-012,asset-00093,medium,open,2026-09-13T11:40:48.939754,,1,
al-000241,ent-001,asset-00005,high,closed,2026-09-13T11:33:48.939754,2026-09-14T00:33:48.939754,1,Remediated
al-000242,ent-002,asset-00013,high,closed,2026-09-13T11:26:48.939754,2026-09-14T00:26:48.939754,1,Remediated
al-000243,ent-003,asset-00021,medium,closed,2026-09-13T11:19:48.939754,2026-09-14T00:19:48.939754,1,Remediated
al-000244,ent-004,asset-00029,high,open,2026-09-13T11:12:48.939754,,1,
al-000245,ent-005,asset-00037,high,closed,2026-09-13T11:05:48.939754,2026-09-14T00:05:48.939754,1,Remediated
al-000246,ent-006,asset-00045,medium,closed,2026-09-13T10:58:48.939754,2026-09-13T23:58:48.939754,1,Remediated
al-000247,ent-007,asset-00053,critical,closed,2026-09-13T10:51:48.939754,2026-09-13T23:51:48.939754,0,Remediated
al-000248,ent-008,asset-00061,high,open,2026-09-13T10:44:48.939754,,1,
al-000249,ent-009,asset-00069,medium,closed,2026-09-13T10:37:48.939754,2026-09-13T23:37:48.939754,1,Remediated
